metric,period,Fecon,Virnig,FAE Group,Diamond Mower,Loftness,Prinoth,Denis Cimaf,Shearex,Mastodon
US Traffic,2026-01,16487,11431,8648,7098,3010,1179,904,390,37
US Traffic,2026-02,15747,15112,10060,7582,2533,1323,915,405,22
US Traffic,2026-03,16022,10200,9111,6405,2757,1217,807,,33
US Traffic,2026-04,19249,13117,4997,6332,3383,1104,930,,43
US Traffic,2026-05,16820,14968,6022,6367,4489,1084,,397,22
US Traffic,2026-06,14473,11671,6456,7569,4865,1182,994,243,23
US Traffic,2026-07,18047,19022,7726,10722,4013,1818,965,253,30
US Traffic,2026-08,21739,12839,7079,8939,3898,1370,1313,326,61
Top 100,2026-01,3369,5710,3089,5060,1217,155,28,92,122
Top 100,2026-02,3534,5758,3234,5112,1339,125,24,88,102
Top 100,2026-03,3260,5263,3096,4595,1274,133,31,81,102
Top 100,2026-04,3120,5085,3027,4288,1181,114,20,76,102
Top 100,2026-05,3190,4834,3153,4340,1049,100,25,72,119
Top 100,2026-06,2876,3954,3153,3835,946,111,91,71,68
Top 100,2026-07,2769,3765,3020,3822,880,114,26,85,79
Top 100,2026-08,2546,3642,3377,3523,780,102,22,66,85
